size,position,algorithm,time
5000,0,Secuencial,66.492
5000,0,Binaria,106.485
5000,0,Galopante,54.802
5000,1,Secuencial,4188.54
5000,1,Binaria,93.788
5000,1,Galopante,119.164
5000,2,Secuencial,6133.39
5000,2,Binaria,76.694
5000,2,Galopante,109.089
5000,3,Secuencial,8876.8
5000,3,Binaria,74.797
5000,3,Galopante,109.675
5000,4,Secuencial,12276.9
5000,4,Binaria,77.339
5000,4,Galopante,135.96
10000,0,Secuencial,43.558
10000,0,Binaria,87.542
10000,0,Galopante,39.581
10000,1,Secuencial,6211.96
10000,1,Binaria,87.9
10000,1,Galopante,109.606
10000,2,Secuencial,11663.5
10000,2,Binaria,87.258
10000,2,Galopante,110.895
10000,3,Secuencial,17943.7
10000,3,Binaria,80.799
10000,3,Galopante,124.219
10000,4,Secuencial,25060.3
10000,4,Binaria,89.772
10000,4,Galopante,139.83
15000,0,Secuencial,31.04
15000,0,Binaria,89.951
15000,0,Galopante,31.386
15000,1,Secuencial,9312.9
15000,1,Binaria,98.044
15000,1,Galopante,114.75
15000,2,Secuencial,21349.4
15000,2,Binaria,103.197
15000,2,Galopante,139.7
15000,3,Secuencial,26166.9
15000,3,Binaria,88.677
15000,3,Galopante,147.963
15000,4,Secuencial,36159.9
15000,4,Binaria,96.736
15000,4,Galopante,155.809
20000,0,Secuencial,42.256
20000,0,Binaria,91.563
20000,0,Galopante,38.494
20000,1,Secuencial,11627.2
20000,1,Binaria,82.585
20000,1,Galopante,111.992
20000,2,Secuencial,30998.8
20000,2,Binaria,119.863
20000,2,Galopante,162.045
20000,3,Secuencial,37354
20000,3,Binaria,90.775
20000,3,Galopante,136.088
20000,4,Secuencial,48327.6
20000,4,Binaria,82.171
20000,4,Galopante,153.537
25000,0,Secuencial,45.512
25000,0,Binaria,88.412
25000,0,Galopante,40.629
25000,1,Secuencial,14600.7
25000,1,Binaria,85.983
25000,1,Galopante,120.486
25000,2,Secuencial,31148.3
25000,2,Binaria,99.842
25000,2,Galopante,134.879
25000,3,Secuencial,45625.3
25000,3,Binaria,100.138
25000,3,Galopante,177.416
25000,4,Secuencial,59272.6
25000,4,Binaria,93.99
25000,4,Galopante,152.867
30000,0,Secuencial,47.874
30000,0,Binaria,120.228
30000,0,Galopante,54.835
30000,1,Secuencial,17479.6
30000,1,Binaria,83.868
30000,1,Galopante,117.575
30000,2,Secuencial,39670.6
30000,2,Binaria,108.621
30000,2,Galopante,146.448
30000,3,Secuencial,53341.9
30000,3,Binaria,89.27
30000,3,Galopante,163.244
30000,4,Secuencial,74404.9
30000,4,Binaria,102.171
30000,4,Galopante,173.836
