size,position,algorithm,time
20,0,Secuencial,58
20,0,Binaria,48
20,0,Galopante,52
20,1,Secuencial,163
20,1,Binaria,101
20,1,Galopante,88
20,2,Secuencial,251
20,2,Binaria,154
20,2,Galopante,176
20,3,Secuencial,274
20,3,Binaria,190
20,3,Galopante,201
20,4,Secuencial,383
20,4,Binaria,237
20,4,Galopante,273
40,0,Secuencial,417
40,0,Binaria,277
40,0,Galopante,305
40,1,Secuencial,545
40,1,Binaria,330
40,1,Galopante,374
40,2,Secuencial,617
40,2,Binaria,371
40,2,Galopante,423
40,3,Secuencial,729
40,3,Binaria,421
40,3,Galopante,494
40,4,Secuencial,930
40,4,Binaria,477
40,4,Galopante,564
60,0,Secuencial,990
60,0,Binaria,547
60,0,Galopante,616
60,1,Secuencial,1158
60,1,Binaria,625
60,1,Galopante,703
60,2,Secuencial,1306
60,2,Binaria,671
60,2,Galopante,770
60,3,Secuencial,1516
60,3,Binaria,710
60,3,Galopante,851
60,4,Secuencial,2023
60,4,Binaria,784
60,4,Galopante,958
80,0,Secuencial,2078
80,0,Binaria,843
80,0,Galopante,1005
80,1,Secuencial,2201
80,1,Binaria,900
80,1,Galopante,1077
80,2,Secuencial,2417
80,2,Binaria,960
80,2,Galopante,1160
80,3,Secuencial,2682
80,3,Binaria,1016
80,3,Galopante,1251
80,4,Secuencial,3033
80,4,Binaria,1074
80,4,Galopante,1327
100,0,Secuencial,3093
100,0,Binaria,1119
100,0,Galopante,1373
100,1,Secuencial,3214
100,1,Binaria,1171
100,1,Galopante,1440
100,2,Secuencial,3425
100,2,Binaria,1217
100,2,Galopante,1515
100,3,Secuencial,3787
100,3,Binaria,1264
100,3,Galopante,1626
100,4,Secuencial,4140
100,4,Binaria,1327
100,4,Galopante,1704
120,0,Secuencial,4198
120,0,Binaria,1392
120,0,Galopante,1749
120,1,Secuencial,4325
120,1,Binaria,1460
120,1,Galopante,1818
120,2,Secuencial,4608
120,2,Binaria,1516
120,2,Galopante,1901
120,3,Secuencial,5071
120,3,Binaria,1571
120,3,Galopante,2005
120,4,Secuencial,5587
120,4,Binaria,1633
120,4,Galopante,2105
140,0,Secuencial,5624
140,0,Binaria,1679
140,0,Galopante,2137
140,1,Secuencial,5743
140,1,Binaria,1730
140,1,Galopante,2203
140,2,Secuencial,6059
140,2,Binaria,1795
140,2,Galopante,2285
140,3,Secuencial,6351
140,3,Binaria,1846
140,3,Galopante,2352
140,4,Secuencial,6678
140,4,Binaria,1884
140,4,Galopante,2417
160,0,Secuencial,6708
160,0,Binaria,1931
160,0,Galopante,2447
160,1,Secuencial,6774
160,1,Binaria,1979
